type;question;answerA;answerB;answerC;answerD;correct
multiple;Gdzie widoczne są prawa specjalne w wyniku ls -l?;W miejscu prawa execute jako s lub t;W osobnej kolumnie;W nazwie pliku;Na początku zapisu;W miejscu prawa execute jako s lub t
multiple;Do czego służy polecenie tr?;Do łączenia plików;Do translacji lub usuwania znaków;Do wycinania kolumn;Do sortowania linii;Do translacji lub usuwania znaków
multiple;Do czego służy opcja -exec w poleceniu find?;Do sortowania plików;Do wykonania polecenia na znalezionych plikach;Do wyświetlania wyników;Do filtrowania wyników;Do wykonania polecenia na znalezionych plikach
multiple;Jaką rolę pełnią kotwice ^ i $ w grep?;Oznaczają dowolny znak;Ograniczają dopasowanie do początku lub końca wiersza;Negują wzorzec;Grupują wyrażenia;Ograniczają dopasowanie do początku lub końca wiersza
multiple;Jak sed przetwarza dane wejściowe?;Tylko pierwszy wiersz;Linia po linii w strumieniu;Cały plik jednocześnie;Tylko ostatni wiersz;Linia po linii w strumieniu
multiple;Czym jest sed w systemach Unix/Linux?;Edytorem strumieniowym przetwarzającym tekst linia po linii;Powłoką systemową;Kompilatorem;Edytorem interaktywnym;Edytorem strumieniowym przetwarzającym tekst linia po linii
multiple;Jaką rolę pełni znak ^ w regexach POSIX?;Oznacza dowolny znak;Neguje całe wyrażenie;Oznacza początek wiersza;Oznacza koniec wiersza;Oznacza początek wiersza
multiple;Dlaczego w przypisaniu zmiennej nie wolno używać spacji?;Ponieważ spacja jest znakiem niedozwolonym;Ponieważ spacja oznacza komentarz;Ponieważ spacja jest ignorowana;Ponieważ powłoka traktuje spację jako separator argumentów;Ponieważ powłoka traktuje spację jako separator argumentów
multiple;Jaką rolę pełni katalog /etc/profile.d/?;Zawiera skrypty uruchamiane podczas startu powłoki logowania;Przechowuje historię poleceń;Zawiera tylko pliki użytkownika root;Zawiera pliki konfiguracyjne jądra;Zawiera skrypty uruchamiane podczas startu powłoki logowania
multiple;W jaki sposób w systemie Linux najczęściej pozyskuje się oprogramowanie?;Poprzez oficjalne repozytoria dystrybucji;Z forów internetowych;Wyłącznie z płyt instalacyjnych;Ze stron producentów sprzętu;Poprzez oficjalne repozytoria dystrybucji
multiple;Jaką informację przechowuje zmienna $$?;Identyfikator procesu powłoki wykonującej skrypt;Nazwę użytkownika;Kod zakończenia skryptu;Liczbę argumentów;Identyfikator procesu powłoki wykonującej skrypt
multiple;Czym jest pattern space w sed?;Buforem wynikowym;Całym plikiem wejściowym;Bieżącą linią przetwarzaną przez sed;Plikiem tymczasowym;Bieżącą linią przetwarzaną przez sed
open;Co należy zrobić, aby nowa zmienna środowiskowa była widoczna dla procesów potomnych?;;;;;Użyć polecenia export (lub declare -x)
multiple;Jaką rolę pełni polecenie tee w potoku?;Zatrzymuje dane w potoku;Sortuje dane;Przekazuje dane dalej i jednocześnie zapisuje je do pliku;Usuwa dane wejściowe;Przekazuje dane dalej i jednocześnie zapisuje je do pliku
multiple;Jak system informuje o liczbie dowiązań twardych do pliku?;Poprzez licznik dowiązań widoczny w ls -l;Poprzez prawa dostępu;Poprzez rozmiar pliku;Poprzez nazwę pliku;Poprzez licznik dowiązań widoczny w ls -l
multiple;Jaki jest efekt użycia substytucji poleceń w linii poleceń?;Polecenia są wykonywane równolegle;Polecenie wewnętrzne jest ignorowane;Wynik jest zapisywany do pliku;Najpierw wykonywane jest polecenie zagnieżdżone, a jego wynik podstawiany;Najpierw wykonywane jest polecenie zagnieżdżone, a jego wynik podstawiany
multiple;Jakie narzędzia należą do podstawowych składników GNU?;Xorg, Wayland, GNOME;Apache, MySQL, PHP;GCC, binutils, bash, glibc, coreutils;Docker, Kubernetes, Ansible;GCC, binutils, bash, glibc, coreutils
multiple;Co oznacza typ pliku „f” w find -type f?;Zwykły plik;Dowiązanie symboliczne;Urządzenie znakowe;Katalog;Zwykły plik
multiple;Dlaczego polecenie cat bywa uważane za zbędne w niektórych potokach?;Ponieważ nie obsługuje standardowego wejścia;Ponieważ często można przekazać plik bezpośrednio do kolejnego polecenia;Ponieważ nie może pracować w potokach;Ponieważ działa tylko dla plików binarnych;Ponieważ często można przekazać plik bezpośrednio do kolejnego polecenia
multiple;Co odróżnia proces od programu?;Proces jest obiektem aktywnym;Proces zajmuje mniej pamięci;Program działa w pamięci;Program zawiera struktury systemowe;Proces jest obiektem aktywnym
multiple;Czemu w systemie Linux potrzebne są narzędzia do wyszukiwania plików?;Ponieważ struktura systemu plików jest rozbudowana i hierarchiczna;Ponieważ katalogi są ukryte;Ponieważ system nie obsługuje indeksów;Ponieważ pliki nie mają nazw;Ponieważ struktura systemu plików jest rozbudowana i hierarchiczna
multiple;Co opisuje klasa znaków [:alnum:]?;Tylko cyfry;Znaki specjalne;Tylko litery;Litery i cyfry;Litery i cyfry
multiple;Co robi polecenie d w sed?;Usuwa plik z dysku;Usuwa bieżący wiersz z wyjścia;Dodaje nowy wiersz;Duplikuje linię;Usuwa bieżący wiersz z wyjścia
multiple;Które narzędzie umożliwia stronicowany podgląd zawartości pliku?;rm;less;pwd;mv;less
multiple;Co robi system operacyjny, gdy proces oczekuje na dostęp do zasobu?;Restartuje system;Zatrzymuje pracę systemu;Kończy działanie procesu;Przełącza się na wykonanie innego procesu;Przełącza się na wykonanie innego procesu
multiple;Co oznacza flaga g w poleceniu s/// sed?;Zamianę wszystkich wystąpień w linii;Zamianę tylko pierwszego wystąpienia;Globalne wyszukiwanie plików;Grupowanie wyrażeń;Zamianę wszystkich wystąpień w linii
multiple;Co oznacza zmienna $# w skrypcie?;Identyfikator procesu;Nazwę skryptu;Liczbę argumentów przekazanych do skryptu;Wszystkie argumenty jako jeden ciąg;Liczbę argumentów przekazanych do skryptu
